qRePS,Gene,Protein,Uniprot,Amount per well [pmol]
QR5000254,HSPA5,Endoplasmic reticulum chaperone BiP,P11021,0.024
QR0330201,ICAM1,Intercellular adhesion molecule 1,P05362,0.167
QR5000058,ICAM2,Intercellular adhesion molecule 2,P13598,0.359
QR5000318,IGFBP1,Insulin-like growth factor-binding protein 1,P08833,0.547
QR0350077,IGFBP3,Insulin-like growth factor-binding protein 3,P17936,0.069
QR3140768,IGFBP4,Insulin-like growth factor-binding protein 4,P22692,0.06
QR3760038,IL10,Interleukin-10,P22301,1.398
QR0330007,IL6,Interleukin-6,P05231,0.045
QR2460059,INHBC,Inhibin beta C chain,P55103,0.242
QR3760404,ITIH2,Inter-alpha-trypsin inhibitor heavy chain H2,P19823,1.11
QR0252445,ITIH3,Inter-alpha-trypsin inhibitor heavy chain H3,Q06033,0.236
QR0300024,KLK3,Prostate-specific antigen,P07288,0.468
QR0350008,KLKB1,Plasma kallikrein,P03952,0.21
QR0350145,KNG1,Kininogen-1,P01042,1.919
QR2350028,KRT1,"Keratin, type II cytoskeletal 1",P04264,1.271
QR5000665,LDHA,L-lactate dehydrogenase A chain,P00338,0.071
QR4290158,LDHB,L-lactate dehydrogenase B chain,P07195,0.533
QR5000286,LEP,Leptin,P41159,0.106
QR5000605,LPA,Apolipoprotein(a),P08519,0.017
QR0350017,LRG1,Leucine-rich alpha-2-glycoprotein,P02750,0.428
QR0350067,LUM,Lumican,P51884,0.433
QR3700033,LYZ,Lysozyme C,P61626,0.241
QR0350147,MASP1,Mannan-binding lectin serine protease 1,P48740,0.07
QR0221208,MB,Myoglobin,P02144,0.174
QR5000056,MBL2,Mannose-binding protein C,P11226,0.068
QR2050084,MGP,Matrix Gla protein,P08493,0.122
QR0280052,MPO,Myeloperoxidase,P05164,0.07
QR1950365,MSLN,Mesothelin,Q13421,0.215
QR5000273,MST1,Hepatocyte growth factor-like protein,P26927,0.544
QR5000308,NPPB,Natriuretic peptides B,P16860,0.451
QR2440268,PCOLCE,Procollagen C-endopeptidase enhancer 1,Q15113,0.732
QR5000360,PCSK9,Proprotein convertase subtilisin/kexin type 9,Q8NBP7,0.216
QR3230185,PFN1,Profilin-1,P07737,0.166
QR3280115,PGLYRP2,N-acetylmuramoyl-L-alanine amidase,Q96PD5,0.389
QR1370174,PIGR,Polymeric immunoglobulin receptor,P01833,0.214
QR7000014,PKM,Pyruvate kinase PKM,P14618,0.437
QR2540982,PLEC,Plectin,Q15149,0.036
QR5000060,PON1,Serum paraoxonase/arylesterase 1,P27169,0.598
QR1510029,PPBP,Platelet basic protein,P02775,0.205
QR5000508,PPIA,Peptidyl-prolyl cis-trans isomerase A,P62937,0.12
QR1420200,PRDX6,Peroxiredoxin-6,P30041,0.064
QR2550357,PRG4,Proteoglycan 4,Q92954,0.056
QR2350034,PRL,Prolactin,P01236,0.269
QR0330194,PROC,Vitamin K-dependent protein C,P04070,0.026
QR7000010,PROCR,Endothelial protein C receptor,Q9UNN8,0.009
QR0350029,PROS1,Vitamin K-dependent protein S,P07225,0.415
QR5000224,PROZ,Vitamin K-dependent protein Z,P22891,0.132
QR1320007,PTGDS,Prostaglandin-H2 D-isomerase,P41222,0.06
QR5000125,PVR,Poliovirus receptor,P15151,0.043
QR5000019,PZP,Pregnancy zone protein,P20742,0.102
QR3420003,QSOX1,Sulfhydryl oxidase 1,O00391,0.019
QR7000009,RBP4,Retinol-binding protein 4,P02753,2.188
QR1420103,S100A8,Protein S100-A8,P05109,0.097
QR0400189,S100A9,Protein S100-A9,P06702,0.052
QR5000092,SELL,L-selectin,P14151,0.09
QR5000084,SERPINA4,Kallistatin,P29622,0.054
QR5000085,SERPINA5,Plasma serine protease inhibitor,P05154,0.342
QR0140840,SERPINA6,Corticosteroid-binding globulin,P08185,0.411
QR5000095,SERPINA7,Thyroxine-binding globulin,P05543,0.046
QR3920037,SERPIND1,Heparin cofactor 2,P05546,0.093
QR0350091,SERPINE1,Plasminogen activator inhibitor 1,P05121,0.075
QR4340066,SERPINF1,Pigment epithelium-derived factor,P36955,0.253
QR0350052,SERPINF2,Alpha-2-antiplasmin,P08697,0.537
QR4370306,SERPING1,Plasma protease C1 inhibitor,P05155,0.677
QR0350126,SHBG,Sex hormone-binding globulin,P04278,0.084
QR5000610,SPP1,Osteopontin,P10451,0.992
QR0670072,TFRC,Transferrin receptor protein 1,P02786,0.019
QR0350042,TG,Thyroglobulin,P01266,0.137
QR1770044,TGFBI,Transforming growth factor-beta-induced protein ig-h3,Q15582,0.067
QR2400003,THBS4,Thrombospondin-4,P35443,0.811
QR0670024,TNFRSF1B,Tumor necrosis factor receptor superfamily member 1B,P20333,3.578
QR1920099,VASN,Vasorin,Q6EMK4,0.03
QR4030673,VTN,Vitronectin,P04004,0.975
QR0330186,VWF,von Willebrand factor,P04275,0.029
QR0670322,WFDC2,WAP four-disulfide core domain protein 2,Q14508,5.494
QR0670248,ZYX,Zyxin,Q15942,0.139
